offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_your_home,average_balance,q3_balance,range,min
No,Air Miles,Letter,High,1,No,High,2,1,4,No,1160.75,1095.0,792.0,877.0
No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25,78.0,327.0,39.0
No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5,145.0,222.0,145.0
No,Air Miles,Letter,Medium,2,No,High,1,1,4,No,1219.0,1119.0,1341.0,419.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211.0,982.0,1775.0,365.0
No,Air Miles,Letter,Medium,1,No,High,3,1,4,No,1114.75,750.0,1350.0,497.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,No,283.75,347.0,336.0,132.0
No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5,285.0,259.0,132.0
No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005.0,882.0,471.0,882.0
No,Air Miles,Letter,High,2,No,Low,3,2,4,Yes,974.25,514.0,1699.0,115.0
No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25,1454.0,736.0,762.0
No,Cash Back,Postcard,High,1,No,Medium,3,2,5,Yes,1221.0,896.0,1234.0,551.0
No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5,969.0,1281.0,475.0
No,Points,Letter,Low,1,No,High,1,1,3,No,1052.25,439.0,1557.0,439.0
No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25,854.0,1340.0,479.0
No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25,713.0,1580.0,135.0
No,Points,Postcard,Low,2,No,Medium,1,1,4,Yes,1217.0,966.0,1607.0,567.0
No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25,2042.0,1770.0,272.0
No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1059.75,900.0,1481.0,395.0
No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75,921.0,901.0,764.0
No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25,1423.0,481.0,942.0
No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75,1224.0,817.0,407.0
No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1754.0,1507.0,409.0,1507.0
No,Air Miles,Postcard,High,1,No,High,3,1,5,No,689.5,753.0,209.0,544.0
No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25,732.0,1164.0,545.0
No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25,921.0,1359.0,572.0
No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877.0,1174.0,1028.0,245.0
Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5,1204.0,1251.0,54.0
No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709.0,790.0,315.0,551.0
No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690.0,931.0,377.0,554.0
No,Points,Letter,Medium,1,No,High,2,1,3,No,863.25,632.0,874.0,432.0
No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733.0,558.0,352.0,558.0
No,Points,Postcard,Low,1,No,High,2,2,4,No,771.0,1304.0,1222.0,82.0
No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5,746.0,195.0,551.0
No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1258.0,1280.0,1205.0,508.0
No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25,946.0,302.0,693.0
No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75,576.0,314.0,576.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1095.75,691.0,1407.0,459.0
No,Air Miles,Postcard,High,1,No,Low,1,2,6,No,1285.0,1545.0,1684.0,206.0
No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1079.25,764.0,1132.0,700.0
No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75,1274.0,262.0,1012.0
No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172.0,95.0,314.0,26.0
No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75,1503.0,1318.0,185.0
No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75,1232.0,515.0,737.0
No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75,504.0,493.0,504.0
Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25,1744.0,1538.0,206.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1040.25,1498.0,924.0,574.0
No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,987.0,1240.0,1090.0,439.0
No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,No,822.0,757.0,165.0,757.0
No,Points,Letter,Medium,2,Yes,High,1,1,5,Yes,650.5,513.0,212.0,513.0
Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75,597.0,1174.0,362.0
No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,988.0,585.0,1726.0,257.0
No,Points,Letter,Medium,1,No,Medium,1,1,4,No,1145.5,1573.0,1473.0,198.0
No,Points,Postcard,Medium,3,No,Low,1,1,4,No,1162.5,1952.0,1273.0,679.0
No,Air Miles,Postcard,Medium,1,No,High,2,2,3,Yes,954.25,942.0,1063.0,250.0
No,Points,Postcard,High,1,No,Medium,4,2,5,Yes,1301.25,1134.0,1773.0,251.0
No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,1148.75,1762.0,1338.0,424.0
Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75,1343.0,1054.0,733.0
No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1195.5,1491.0,1566.0,272.0
No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1351.5,1736.0,981.0,755.0
No,Cash Back,Postcard,Medium,2,No,High,1,1,4,No,1062.25,1827.0,1397.0,430.0
No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,1147.25,1362.0,2121.0,68.0
No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,1308.5,1001.0,555.0,1001.0
No,Cash Back,Postcard,Medium,2,No,High,2,1,2,No,363.0,443.0,315.0,156.0
No,Cash Back,Letter,Medium,1,No,Low,1,2,4,Yes,929.5,1543.0,1202.0,341.0
No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,718.0,715.0,302.0,565.0
No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1193.25,1043.0,865.0,703.0
No,Air Miles,Letter,Medium,1,No,Medium,3,1,2,Yes,957.75,892.0,1363.0,440.0
